scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Bandhan Asset Allocation FoF – Conservative – Dir Growth,2,Other,FoFs Domestic,3,9.6,6.6
Nippon India Retirement Fund,2,Solution Oriented,Retirement Funds,4,8.4,7.4
Invesco India Short Term Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8
DSP Short Term Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7
Bandhan Bond Fund,2,Debt,Medium to Long Duration Funds,2,4.8,7
Bandhan Regular Savings Fund,2,Hybrid,Conservative Hybrid Mutual Funds,0.9,7.7,6
Sundaram Debt Oriented Hybrid Fund,2,Hybrid,Conservative Hybrid Mutual Funds,4.1,11.6,6.2
Bandhan Credit Risk Fund,2,Debt,Credit Risk Funds,4.7,6.2,6.7
HSBC Short Duration Fund,2,Debt,Short Duration Funds,3.8,6,6.7
Bandhan Bond Fund,2,Debt,Medium Duration Funds,2.5,5.6,6.7
Baroda BNP Paribas Banking&Fin Serv Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1
Kotak Credit Risk Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4
ICICI Pru Savings Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7
LIC MF Short Term Debt Fund,2,Debt,Short Duration Funds,3.7,5.7,
IDBI Banking & Financial Services Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,
Baroda BNP Paribas Gilt Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8
Tata Gilt Securities Fund,2,Debt,Gilt Mutual Funds,5.2,4.8,6.9
DSP Corporate Bond Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,
Baroda BNP Paribas Dynamic Bond Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6
HSBC Flexi Debt Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3
HDFC Gilt Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4
Bank of India Balanced Advantage Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1
Invesco India Treasury Advantage Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4
LIC MF Banking & Fina Serv Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5
DSP Low Duration Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3
LIC MF Bond Fund,2,Debt,Medium to Long Duration Funds,4.4,4.7,6.2
Sundaram Banking & PSU Debt Fund,2,Debt,Banking and PSU Mutual Funds,3.5,5,6.1
Bandhan Low Duration Fund,2,Debt,Low Duration Funds,4.9,5.4,6.2
Franklin India G-Sec Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3
HSBC Managed Solutions Conservative Fund,2,Other,FoFs Domestic,3.2,6.7,5.9
Canara Robeco Savings Fund,2,Debt,Low Duration Funds,5,5.2,5.9
Union Corporate Bond Fund,2,Debt,Corporate Bond Mutual Funds,3.1,6.2,
SBI Magnum Ultra Short Duration Fund,2,Debt,Ultra Short Duration Funds,5.2,5.1,6.1
DSP Savings Fund,2,Debt,Money Market Funds,5,5.3,5.9
Bandhan Ultra Short Term Fund,2,Debt,Ultra Short Duration Funds,5.3,4.9,
Invesco India Money Market Fund,2,Debt,Money Market Funds,5,5.1,5.8
Bank of India Ultra Short Duration Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7
Sundaram Medium Term Bond Fund,2,Debt,Medium Duration Funds,2.5,5,5.3
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,2,Solution Oriented,Retirement Funds,3,4.6,
PGIM India Arbitrage Fund,2,Hybrid,Arbitrage Mutual Funds,5.3,4.5,5.2
SBI Arbitrage Opportunities Fund,2,Hybrid,Arbitrage Mutual Funds,5.8,4.5,5.4
Canara Robeco Ultra Short Term Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3
HDFC Arbitrage Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2
Invesco India Credit Risk Fund,2,Debt,Credit Risk Funds,4.4,6,3.5
Indiabulls Short Term Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9
Mahindra Manulife Dynamic Bond Fund,2,Debt,Dynamic Bond,3.4,4.4,
LIC MF Arbitrage Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,
ICICI Pru Liquid Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
L&T Liquid Fund,2,Debt,Liquid Mutual Funds,1.7,32.4,13.3
HDFC Liquid Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Kotak Liquid Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Canara Robeco Liquid Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1
Indiabulls Arbitrage Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5
Quantum Liquid Fund,2,Debt,Liquid Mutual Funds,5.4,4,4.9
Sundaram Overnight Fund,2,Debt,Overnight Mutual Funds,5.4,3.9,
IIFL Liquid Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8
SBI Overnight Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,4.6
ITI Liquid Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,
HDFC Overnight Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6
Nippon India Credit Risk Fund,2,Debt,Credit Risk Funds,4.8,9.5,4.4
UTI-Medium Term Fund,2,Debt,Medium Duration Funds,3.7,5.4,4.6
Franklin India Overnight Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,
Baroda BNP Paribas Corporate Bond Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4
Baroda BNP Paribas Medium Duration Fund,2,Debt,Medium Duration Funds,3.9,5,3.5
JM Medium to Long Duration Fund,2,Debt,Medium to Long Duration Funds,2.5,4.8,3.1
Sundaram Low Duration Fund,2,Debt,Low Duration Funds,5.6,4.9,1.8
Nippon India Strategic Debt Fund,2,Debt,Medium Duration Funds,2.7,8.3,-0.9
Baroda BNP Paribas Money Market Fund,2,Debt,Money Market Funds,5,4.1,
Kotak Floating Rate Fund,2,Debt,Floater Mutual Funds,4.6,7,
WhiteOak Capital Ultra Short Term Fund,2,Debt,Ultra Short Duration Funds,5.3,4.5,
ITI Long Term Equity Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,
Canara Robeco Overnight Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,
Edelweiss Overnight Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,
Motilal Oswal Nifty Bank Index Fund,2,Other,Index Funds,10.8,25,
Motilal Oswal Nifty Smallcap 250 Index Fund,2,Other,Index Funds,-4.8,37.1,
Motilal Oswal Nifty Next 50 Index Fund,2,Other,Index Funds,-5.9,21.8,
AXIS Retirement Savings Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,
AXIS Retirement Savings Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,
BHARAT Bond FOF – April 2025 – Direct Growth,2,Other,FoFs Domestic,2.6,,
Union Medium Duration Fund,2,Debt,Medium Duration Funds,2.3,,
HSBC Corporate Bond Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3
Baroda BNP Paribas Banking & PSU Bond Fund,2,Debt,Banking and PSU Mutual Funds,2.5,,
TRUSTMF Banking & PSU Debt Fund,2,Debt,Banking and PSU Mutual Funds,3,,
TRUSTMF Liquid Fund,2,Debt,Liquid Mutual Funds,5.6,,
ITI Ultra Short Duration Fund,2,Debt,Ultra Short Duration Funds,5.3,,
Invesco India Medium Duration Fund,2,Debt,Medium Duration Funds,3.5,,
AXIS Floater Fund,2,Debt,Floater Mutual Funds,5.8,,
TRUSTMF Short Term Fund,2,Debt,Short Duration Funds,4.2,,
Aditya Birla SL Midcap Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28,8.3
Quantum Gold Savings Fund,1,Other,FoFs Domestic,14.3,11.7,13
IDBI Midcap Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7
HSBC Infrastructure Equity Fund,1,Equity,Sectoral / Thematic Mutual Funds,5.9,43.3,7.8
Nippon India Vision Fund,1,Equity,Large & Mid Cap Funds,2.1,27.4,9.3
Aditya Birla SL Equity Advantage Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9
Nippon India Index Fund,1,Other,Index Funds,1.5,25.6,13
UTI-India Consumer Fund,1,Equity,Sectoral / Thematic Mutual Funds,-0.5,18,8.4
Aditya Birla SL Small Cap Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4
IDBI Nifty Next 50 Index Fund,1,Other,Index Funds,-6.1,21.8,6.2
ICICI Pru Nifty Next 50 Index Fund,1,Other,Index Funds,-6.4,22,6.1
Aditya Birla SL Pure Value Fund,1,Equity,Value Funds,3,29.8,4.3
HSBC ELSS Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8
Nippon India Tax Saver (ELSS) Fund,1,Equity,ELSS Mutual Funds,1.8,27.3,6.5
LIC MF Children’s Gift Fund,1,Solution Oriented,Childrens Funds,-1.9,17.1,7.6
Taurus Largecap Equity Fund,1,Equity,Large Cap Mutual Funds,-2.5,19.5,7.6
DSP Top 100 Equity Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9
LIC MF Equity Hybrid Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3
Taurus Flexi Cap Fund,1,Equity,Flexi Cap Funds,-4.1,20.2,5.4
Aditya Birla SL Tax Relief ’96 – Direct Growth,1,Equity,ELSS Mutual Funds,-3,16.1,5.8
Nippon India Retirement Fund,1,Solution Oriented,Retirement Funds,1.3,25.3,6.7
HSBC Corporate Bond Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6
UTI-Banking & PSU Debt Fund,1,Debt,Banking and PSU Mutual Funds,11,7.9,5.6
JM Focused Fund,1,Equity,Focused Funds,3.1,19.4,8.6
Nippon India Equity Hybrid Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,4.2,24.3,5.9
HDFC Infrastructure Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3
Motilal Oswal Flexi Cap Fund,1,Equity,Flexi Cap Funds,-1.6,16.4,4.9
Motilal Oswal Balance Advantage Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,0.3,9.9,5.6
Edelweiss Money Market Fund,1,Debt,Money Market Funds,4.9,4.7,7.3
Bandhan Bond Fund,1,Debt,Short Duration Funds,3.9,6.3,6.9
HSBC Banking and PSU Debt Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6,6.5
Nippon India Dynamic Bond Fund,1,Debt,Dynamic Bond,3.6,5.6,6.7
Union Dynamic Bond Fund,1,Debt,Dynamic Bond,2.6,4.7,6
Franklin India Life Stage Fund,1,Other,FoFs Domestic,-0.7,33.7,11.3
Invesco India Gilt Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7
Invesco India Banking & PSU Debt Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4
HSBC Medium to Long Duration Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5
Franklin India Multi-Asset Solution Fund,1,Other,FoFs Domestic,4.1,8.7,5.3
HSBC Money Market Fund,1,Debt,Money Market Funds,5.2,4.9,6
IDBI Gilt Fund,1,Debt,Gilt Mutual Funds,1.7,32.4,13.3
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,1,Solution Oriented,Retirement Funds,2.9,4.6,
Navi Ultra Short Term Fund,1,Debt,Ultra Short Duration Funds,1.7,32.4,13.3
Indiabulls Liquid Fund,1,Debt,Liquid Mutual Funds,5.4,4,5.2
Motilal Oswal Ultra Short Term Fund,1,Debt,Ultra Short Duration Funds,4.7,3.9,1.8
UTI-Banking and Financial Services Fund,1,Equity,Sectoral / Thematic Mutual Funds,8.2,24.4,6.7
WhiteOak Capital Liquid Fund,1,Debt,Liquid Mutual Funds,5.3,3.8,
Parag Parikh Liquid Fund,1,Debt,Liquid Mutual Funds,5.3,4,
Bank of India Arbitrage Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,
Motilal Oswal Liquid Fund,1,Debt,Liquid Mutual Funds,5.2,3.8,
JM Arbitrage Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5
Sundaram Arbitrage Fund,1,Hybrid,Arbitrage Mutual Funds,5.3,3.3,2.8
HSBC Short Duration Fund,1,Debt,Short Duration Funds,1.7,32.4,13.3
Nippon India Hybrid Bond Fund,1,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.6,3.4
HSBC Low Duration Fund,1,Debt,Low Duration Funds,1.7,32.4,13.3
Franklin India Life Stage Fund,1,Other,FoFs Domestic,1.7,32.4,13.3
Nippon India Equity Savings Fund,1,Hybrid,Equity Savings Mutual Funds,3.9,12.2,1.3
PGIM India Low Duration Fund,1,Debt,Low Duration Funds,5.5,4.3,2
Indiabulls Overnight Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
WhiteOak Capital Overnight Fund,1,Debt,Overnight Mutual Funds,1.7,32.4,13.3
ITI Arbitrage Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,
ITI Overnight Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
LIC MF Ultra Short Term Fund,1,Debt,Ultra Short Duration Funds,5,4.5,
ITI Balanced Advantage Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,
AXIS Retirement Savings Fund,1,Solution Oriented,Retirement Funds,-4.1,14,
ITI Small Cap Fund,1,Equity,Small Cap Mutual Funds,6.5,29.4,
DSP Floater Fund,1,Debt,Floater Mutual Funds,4.4,,
ICICI Pru Bharat Consumption Fund,,Equity,Sectoral / Thematic Mutual Funds,13.6,14.2,11.5
AXIS FTP – Series 109 – 111Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Tata FMP – Sr.56,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RC Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXVII-Sr.6,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series QF Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.83-1412Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXIX-IV(1422Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.83-1406Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXVII-Sr.4,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1247Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RL Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series PY Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RN Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1261Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Kotak FMP – Series 239 – 1330Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Kotak FMP – Series 243 – 1319Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
L&T FMP – Series XVIII – Plan B Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1293Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1434Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.83-1392Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SA Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1175Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Canara Robeco CPO Fund,,Hybrid,Conservative Hybrid Mutual Funds,11.2,14.5,14
L&T FMP – Series XVIII – Plan D Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1154Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1133Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1126Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1245Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1232Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1203Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1218Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1224Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1260Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1274Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1280Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1190Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1182Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
AXIS FTP – Series 104 – 1112Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1288Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
IDFC FTP – Sr.166,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RP Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Franklin India FMP – Sr.4,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1246Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1265Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1286Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RH Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1188Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1127Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1120Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
HDFC FMP-1118Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-XIV(1209Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-XIII(1224Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-X(1267Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-VIII(1286Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1224Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
SBI Debt Fund,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-IX(1266Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXXI-III(1174Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SF Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SI Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SL Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
SBI Debt Fund,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SG Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series SJ Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.84-1275Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.85-1178Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
DSP FMP – Series 250 – 39Mth,,Debt,Fixed Maturity Plans,11.2,14.5,14
Franklin India FMP – Sr.5,,Debt,Fixed Maturity Plans,11.2,14.5,14
SBI Debt Fund,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-FTI – Series XXX-XI(1246Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
IDFC FTP – Sr.167,,Debt,Fixed Maturity Plans,11.2,14.5,14
SBI Debt Fund,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXIX – Sr.2,,Debt,Fixed Maturity Plans,11.2,14.5,14
UTI-CPO – Sr.VIII – IV(1996Days,,Hybrid,Conservative Hybrid Mutual Funds,11.2,14.5,14
Nippon India Fixed Horizon – XXXX – Sr.7,,Debt,Fixed Maturity Plans,11.2,14.5,14
Kotak FMP – Series 247 – 1308Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL FTP – Series RR Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
IDFC FTP – Sr.149,,Debt,Fixed Maturity Plans,11.2,14.5,14
Aditya Birla SL DAF – Sr.2,,Debt,Fixed Maturity Plans,11.2,14.5,14
Edelweiss FMP – Series 55 Growth,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.85-1129Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru FMP – Sr.85-1127Days,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXIX – Sr.4,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXIX – Sr.6,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXIX – Sr.15,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXX – Sr.2,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXX – Sr.4,,Debt,Fixed Maturity Plans,11.2,14.5,14
Nippon India Fixed Horizon – XXXIX – Sr.14,,Debt,Fixed Maturity Plans,11.2,14.5,14
ICICI Pru Technology Fund,,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6
SBI Long Term Advantage Fund,,Equity,ELSS Mutual Funds,0.1,43.3,19.5
SBI Tax Advantage Fund,,Equity,ELSS Mutual Funds,1.9,41.1,21.8
Quant Active Fund,,Equity,Multi Cap Funds,1,45.5,19.9
Aditya Birla SL Digital India Fund,,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1
Tata Digital India Fund,,Equity,Sectoral / Thematic Mutual Funds,-16,39,22.1
SBI Technology Opportunities Fund,,Equity,Sectoral / Thematic Mutual Funds,-8.7,37.1,21
Tata Resources & Energy Fund,,Equity,Sectoral / Thematic Mutual Funds,-3.4,34.7,15.5
Mirae Asset Healthcare Fund,,Equity,Sectoral / Thematic Mutual Funds,-10.7,25,
DSP Healthcare Fund,,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,
Kotak India Growth Fund,,Equity,Multi Cap Funds,4.8,35.5,15.6
Edelweiss Recently Listed IPO Fund,,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9
Sundaram Emerging Small Cap Series VII – Dir Growth,,Equity,Small Cap Mutual Funds,8,36.9,
DSP World Mining Fund,,Other,FoFs Overseas,-5.4,37.1,15
Sundaram Select Micro Cap – Sr.XVI – Direct Growth,,Equity,Small Cap Mutual Funds,-1.6,46.4,10.8
Sundaram Select Micro Cap – Sr.XV – Direct Growth,,Equity,Small Cap Mutual Funds,-1.6,46.4,10.8
SBI Magnum Comma Fund,,Equity,Sectoral / Thematic Mutual Funds,-12.1,30.9,11.3
Mahindra Manulife Multi Cap Fund,,Equity,Multi Cap Funds,1.2,32.6,15.8
ICICI Pru P.H.D Fund,,Equity,Sectoral / Thematic Mutual Funds,-6,25,
Nippon India Pharma Fund,,Equity,Sectoral / Thematic Mutual Funds,-7,24.7,15.6
Sundaram Select Micro Cap – Sr.XVII – Direct Growth,,Equity,Small Cap Mutual Funds,-1.6,46.4,10.8
Sundaram Emerging Small Cap Series VI – Dir Growth,,Equity,Small Cap Mutual Funds,7.8,41.9,
Sundaram Emerging Small Cap Series III – Dir Growth,,Equity,Small Cap Mutual Funds,9.4,43.7,
Bank of India Midcap Tax Fund,,Equity,ELSS Mutual Funds,-4.1,27.1,10.6
Tata India Pharma & Healthcare Fund,,Equity,Sectoral / Thematic Mutual Funds,-8.1,21.7,14.8
Sundaram Emerging Small Cap Series IV – Dir Growth,,Equity,Small Cap Mutual Funds,6.7,41.4,
SBI Long Term Advantage Fund,,Equity,ELSS Mutual Funds,1.1,36.2,15.4
Sundaram Services Fund,,Equity,Sectoral / Thematic Mutual Funds,3.2,31.3,
Templeton India Equity Income Fund,,Equity,Dividend Yield Funds,8.3,37.7,14.5
SBI Long Term Advantage Fund,,Equity,ELSS Mutual Funds,0.5,35.5,14.5
Franklin India Technology Fund,,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9
Sundaram Emerging Small Cap Series V – Dir Growth,,Equity,Small Cap Mutual Funds,7.6,42.3,
Sundaram Emerging Small Cap Series I – Dir Growth,,Equity,Small Cap Mutual Funds,17,31.5,
Sundaram Emerging Small Cap Series II – Dir Growth,,Equity,Small Cap Mutual Funds,10,42.7,
Sundaram LT MC Tax Advantage Fund,,Equity,ELSS Mutual Funds,1.4,42.8,9.5
UTI-Healthcare Fund,,Equity,Sectoral / Thematic Mutual Funds,-9,22,12
SBI Long Term Advantage Fund,,Equity,ELSS Mutual Funds,1,36.4,14
Sundaram LT MC Tax Advantage Fund,,Equity,ELSS Mutual Funds,3.8,44.8,9.8
SBI Healthcare Opportunities Fund,,Equity,Sectoral / Thematic Mutual Funds,-1.6,25.7,13.6
Bank of India Midcap Tax Fund,,Equity,ELSS Mutual Funds,-4.7,26,
Tata Ethical Fund,,Equity,Sectoral / Thematic Mutual Funds,-1.6,27.9,13.1
ICICI Pru Thematic Advantage Fund,,Other,FoFs Domestic,5.4,35.4,14.6
Motilal Oswal Nasdaq 100 FOF – Direct Growth,,Other,FoFs Overseas,-6.2,21.4,
Sundaram LT MC Tax Advantage Fund,,Equity,ELSS Mutual Funds,3.4,42.7,9.2
Sundaram LT Tax Advantage Fund,,Equity,ELSS Mutual Funds,5.8,48,
Sundaram LT Tax Advantage Fund,,Equity,ELSS Mutual Funds,5.4,46.9,
IDBI Healthcare Fund,,Equity,Sectoral / Thematic Mutual Funds,-13,17.1,
DSP Natural Resources & New Energy – Direct Growth,,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12
Sundaram LT MC Tax Advantage Fund,,Equity,ELSS Mutual Funds,3.5,42.3,8.6
ICICI Pru India Opportunities Fund,,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,
ICICI Pru Manufacturing Fund,,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,
IDBI Dividend Yield Fund,,Equity,Dividend Yield Funds,0.1,25.2,
DSP World Gold Fund,,Other,FoFs Overseas,-9,14.8,10.2
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,,Other,FoFs Domestic,11.2,25,15.3
Sundaram Multi Cap Fund,,Equity,Multi Cap Funds,1.5,25,
Sundaram Multi Cap Fund,,Equity,Multi Cap Funds,1.6,25,
Kotak Equity Hybrid Fund,,Hybrid,Aggressive Hybrid Mutual Funds,5,26.9,12.8
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3
ICICI Pru Exports and Services Fund,,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4
ICICI Pru Dividend Yield Equity Fund,,Equity,Dividend Yield Funds,8.5,37.6,12.1
Nippon India Capital Builder Fund,,Equity,Large & Mid Cap Funds,-0.2,33.3,12
Taurus Ethical Fund,,Equity,Sectoral / Thematic Mutual Funds,-3.5,22.3,11.4
